# ----------------------------------------
# Vue d'ensemble "Générer des prospects"
# Compte : Artisane de Lumière Website
# Propriété : abat-jour-adl.ch
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250720
Nième jour,Nouveaux utilisateurs
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,3
0051,1
0052,0
0053,0
0054,2
0055,1
0056,0
0057,3
0058,1
0059,0
0060,0
0061,1
0062,0
0063,0
0064,0
0065,0
0066,0
0067,1
0068,0
0069,0
0070,1
0071,1
0072,2
0073,0
0074,3
0075,2
0076,8
0077,0
0078,1
0079,0
0080,1
0081,1
0082,0
0083,0
0084,2
0085,0
0086,0
0087,0
0088,0
0089,0
0090,1
0091,2
0092,2
0093,2
0094,10
0095,1
0096,1
0097,0
0098,0
0099,0
0100,0
0101,1
0102,1
0103,0
0104,1
0105,0
0106,2
0107,3
0108,0
0109,0
0110,2
0111,0
0112,0
0113,1
0114,1
0115,1
0116,1
0117,2
0118,0
0119,0
0120,1
0121,2
0122,3
0123,0
0124,2
0125,0
0126,0
0127,0
0128,2
0129,0
0130,0
0131,0
0132,0
0133,1
0134,2
0135,0
0136,2
0137,2
0138,0
0139,0
0140,0
0141,0
0142,0
0143,1
0144,0
0145,0
0146,1
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,1
0155,3
0156,1
0157,0
0158,0
0159,1
0160,1
0161,0
0162,0
0163,1
0164,1
0165,0
0166,1
0167,1
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,1
0176,1
0177,1
0178,2
0179,0
0180,0
0181,0
0182,1
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,0
0190,0
0191,0
0192,0
0193,1
0194,1
0195,0
0196,0
0197,2
0198,2
0199,0
0200,0

# Date de début : 20250101
# Date de fin : 20250720
Nième jour,Utilisateurs connus
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,1
0056,0
0057,1
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,2
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,1
0083,0
0084,1
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,1
0098,1
0099,1
0100,0
0101,0
0102,1
0103,1
0104,1
0105,0
0106,0
0107,2
0108,0
0109,1
0110,0
0111,0
0112,1
0113,2
0114,4
0115,0
0116,0
0117,1
0118,0
0119,1
0120,0
0121,1
0122,0
0123,0
0124,3
0125,0
0126,1
0127,0
0128,0
0129,0
0130,1
0131,2
0132,1
0133,0
0134,1
0135,0
0136,0
0137,0
0138,1
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,1
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0
0179,0
0180,0
0181,0
0182,0
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,1
0190,0
0191,0
0192,0
0193,0
0194,0
0195,0
0196,0
0197,0
0198,0
0199,0
0200,0

#  
# Date de début : 20250101
# Date de fin : 20250720
Plate-forme,Événements clés


#  
# Date de début : 20250101
# Date de fin : 20250720
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Direct,65
Organic Search,41
Referral,3
Organic Social,2
Unassigned,1

# Arrivez-vous à fidéliser efficacement vos utilisateurs ?
# Date de début : 20250608
# Date de fin : 20250719
Date,Semaine 0,Semaine 1,Semaine 2,Semaine 3,Semaine 4,Semaine 5
8 juin - 14 juin,4,0,0,0,0,0
15 juin - 21 juin,2,0,0,0,0,-1
22 juin - 28 juin,5,0,0,0,-1,-1
29 juin - 5 juil.,1,0,0,-1,-1,-1
6 juil. - 12 juil.,0,0,-1,-1,-1,-1
13 juil. - 19 juil.,6,-1,-1,-1,-1,-1

#  
# Date de début : 20250101
# Date de fin : 20250720
Nom de l'audience,Utilisateurs actifs
All Users,113

#  
# Date de début : 20250101
# Date de fin : 20250720
Ville,Utilisateurs actifs
Lausanne,9
Geneva,6
Collombey,4
Monthey,4
Paris,4
Sion,4
Zurich,4
Langenthal,3
New York,3
Winterthur,3
Bern,2
Chatel-Saint-Denis,2
Dublin,2
Fribourg,2
Lyss,2
Martigny,2
Morges,2
Moses Lake,2
Neuchatel,2
Zug,2
Amsterdam,1
Ashburn,1
Besancon,1
Boardman,1
Bonneville,1
Bulle,1
Burnaby,1
Carpentras,1
Chavornay,1
Crans-Montana,1
Fiesch,1
Frankfurt,1
Fully,1
Gland,1
Granges-Paccot,1
Kansas City,1
La Tene,1
La Tour-de-Peilz,1
Lucerne,1
Marseille,1
Montreal,1
Nice,1
Ostermundigen,1
Port-Valais,1
Prangins,1
Santa Clara,1
Schwyz,1
Shanghai,1
Tehran,1
The Hague,1
Thun,1
Troistorrents,1
Versoix,1
Villeneuve-les-Avignon,1
Wallisellen,1

#  
# Date de début : 20250101
# Date de fin : 20250720
Page de destination + chaîne de requête,Impressions dans la recherche naturelle Google
/,1224
/atelier,631
/renovations,402
/creations,148
/l-abat-jour-du-moment,110
/contact,74
/renovations-reparation,34
/creations-1,10
/galerie,4

#  
# Date de début : 20250101
# Date de fin : 20250720
Requête de recherche naturelle Google,Clics dans la recherche naturelle Google
fabricant abat-jour sur mesure,2
abat-jour sur mesure,1
fabricant abat jour,1

#  
# Date de début : 20250101
# Date de fin : 20250720
Source manuelle de la session,Sessions
google,66
chatgpt.com,6
bing,2
duckduckgo,2
facebook.com,2
internal.infomaniak.com,1
metiersart.ch,1
trello.com,1
