Date,Clicks,Impressions,CTR,Position
2025-07-20,0,104,0%,53.21
2025-07-19,0,97,0%,47.78
2025-07-18,1,100,1%,48.8
2025-07-17,0,102,0%,49.52
2025-07-16,0,109,0%,50.67
2025-07-15,0,97,0%,50.78
2025-07-14,0,108,0%,51.45
2025-07-13,0,92,0%,47.26
2025-07-12,0,96,0%,47.79
2025-07-11,0,97,0%,53.18
2025-07-10,0,97,0%,50
2025-07-09,0,95,0%,52.06
2025-07-08,0,79,0%,50.29
2025-07-07,0,87,0%,58.93
2025-07-06,0,77,0%,54.44
2025-07-05,0,86,0%,48.24
2025-07-04,0,95,0%,52.6
2025-07-03,0,56,0%,49.88
2025-07-02,0,85,0%,50.75
2025-07-01,0,96,0%,45.33
2025-06-30,0,82,0%,63.85
2025-06-29,1,58,1.72%,58.6
2025-06-28,0,67,0%,55
2025-06-27,0,87,0%,53.74
2025-06-26,0,63,0%,55.67
2025-06-25,2,62,3.23%,53.98
2025-06-24,2,65,3.08%,56.77
2025-06-23,0,53,0%,60.32
2025-06-22,0,45,0%,59.09
2025-06-21,0,64,0%,53.23
2025-06-20,1,62,1.61%,51.74
2025-06-19,0,66,0%,51.35
2025-06-18,0,67,0%,57.52
2025-06-17,0,70,0%,54.31
2025-06-16,0,75,0%,51.03
2025-06-15,0,60,0%,53.2
2025-06-14,0,74,0%,46.34
2025-06-13,0,73,0%,49.48
2025-06-12,0,72,0%,51.28
2025-06-11,0,87,0%,48.18
2025-06-10,1,75,1.33%,50.05
2025-06-09,0,99,0%,47.96
2025-06-08,0,72,0%,44.19
2025-06-07,1,72,1.39%,48.19
2025-06-06,0,69,0%,54.33
2025-06-05,0,60,0%,55.85
2025-06-04,0,67,0%,47.88
2025-06-03,0,56,0%,50.98
2025-06-02,0,72,0%,52.71
2025-06-01,0,70,0%,53.87
2025-05-31,0,85,0%,49.68
2025-05-30,1,87,1.15%,54.91
2025-05-29,0,73,0%,47.47
2025-05-28,3,76,3.95%,50.66
2025-05-27,0,70,0%,50.64
2025-05-26,2,75,2.67%,49.55
2025-05-25,2,87,2.3%,52.97
2025-05-24,0,96,0%,51.61
2025-05-23,0,135,0%,49.2
2025-05-22,0,166,0%,39.93
2025-05-21,1,164,0.61%,40.4
2025-05-20,1,276,0.36%,52.08
2025-05-19,3,185,1.62%,41.33
2025-05-18,0,138,0%,37.21
2025-05-17,0,140,0%,40.23
2025-05-16,1,106,0.94%,40.06
2025-05-15,1,132,0.76%,37.27
2025-05-14,0,121,0%,36.55
2025-05-13,4,132,3.03%,38.76
2025-05-12,1,146,0.68%,38.43
2025-05-11,0,131,0%,37.61
2025-05-10,0,115,0%,36
2025-05-09,0,101,0%,37.96
2025-05-08,1,106,0.94%,36.04
2025-05-07,0,95,0%,35.09
2025-05-06,0,112,0%,38.05
2025-05-05,1,113,0.88%,42.29
2025-05-04,0,90,0%,45.09
2025-05-03,0,98,0%,41.63
2025-05-02,3,103,2.91%,39.18
2025-05-01,1,100,1%,40.37
2025-04-30,1,97,1.03%,39.99
2025-04-29,0,94,0%,41.62
2025-04-28,1,108,0.93%,40.08
2025-04-27,0,99,0%,41.19
2025-04-26,0,100,0%,39.37
2025-04-25,1,120,0.83%,38.12
2025-04-24,1,135,0.74%,35.48
2025-04-23,0,95,0%,40.23
2025-04-22,2,110,1.82%,37.44
2025-04-21,0,125,0%,42.3
2025-04-20,0,87,0%,41.82
2025-04-19,0,91,0%,41.34
2025-04-18,0,62,0%,46.58
2025-04-17,0,107,0%,42.05
2025-04-16,0,99,0%,39.84
2025-04-15,0,108,0%,44.63
2025-04-14,0,115,0%,42.81
2025-04-13,0,102,0%,43.43
2025-04-12,0,103,0%,45.25
2025-04-11,1,117,0.85%,39.93
2025-04-10,1,152,0.66%,38.52
2025-04-09,0,126,0%,38.02
2025-04-08,1,126,0.79%,38.54
2025-04-07,0,137,0%,40.6
2025-04-06,0,132,0%,41.79
2025-04-05,1,118,0.85%,40.17
2025-04-04,0,103,0%,39.12
2025-04-03,1,114,0.88%,41.28
2025-04-02,1,107,0.93%,41.28
2025-04-01,0,119,0%,41.34
2025-03-31,0,119,0%,46
2025-03-30,0,86,0%,44.45
2025-03-29,0,90,0%,40.73
2025-03-28,0,90,0%,44.86
2025-03-27,2,84,2.38%,39.01
2025-03-26,0,89,0%,36.56
2025-03-25,0,82,0%,44.41
2025-03-24,2,101,1.98%,42.27
2025-03-23,0,80,0%,42.7
2025-03-22,0,78,0%,45.59
2025-03-21,0,74,0%,42.86
2025-03-20,0,83,0%,39.83
2025-03-19,1,81,1.23%,37.49
2025-03-18,0,78,0%,36.37
2025-03-17,4,85,4.71%,35.78
2025-03-16,1,82,1.22%,34.98
2025-03-15,0,82,0%,41.37
2025-03-14,0,77,0%,44.9
2025-03-13,0,72,0%,42.17
2025-03-12,0,73,0%,42.1
2025-03-11,3,81,3.7%,42.1
2025-03-10,0,87,0%,47.61
2025-03-09,0,52,0%,43.85
2025-03-08,0,51,0%,40.86
2025-03-07,0,47,0%,42.4
2025-03-06,0,49,0%,46.76
2025-03-05,0,58,0%,43.34
2025-03-04,0,46,0%,42.13
