# ----------------------------------------
# Events: Event name
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250719
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,99059,56843,1.7462099844873784,0
session_start,71282,56329,1.2699900228050172,0
first_visit,55458,55435,1.0004149003337242,0
user_engagement,44737,26119,1.7286321483771252,0
scroll,19841,12392,1.6136141834743005,0
view_content,15551,12066,1.2949454575734864,0
ads_conversion_Envoi_de_formulaire_pou_1,15482,11998,1.2954564471592336,0
view_item,6822,3123,2.192864030858245,0
form_start,6515,5332,1.222097167510786,0
generate_lead,2445,1937,1.2635658914728682,0
begin_checkout,1149,711,1.620592383638928,0
click,926,701,1.3247496423462088,0
form_submit,702,259,2.7104247104247103,0
purchase,353,266,1.3270676691729324,101187.079048
file_download,1,1,1,0
