# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250719
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,19865,7174,0.3611376793355147,21.263679838912662,3.768839667757362,74868,49,0.0018122325698464636,0
Unassigned,14171,13064,0.9218827182273658,15.85950179944958,5.995907134288335,84968,14351,0.9216710182767625,641.08986
Direct,7548,3940,0.5219925808161102,32.779676735559086,4.69912559618442,35469,442,0.04756226815050345,65678.014395
Paid Video,7213,3452,0.4785803410508804,29.330652987661168,4.0848468043809785,29464,2,0.00013863856924996534,0
Paid Other,6448,3641,0.5646712158808933,67.78908188585608,4.711383374689826,30379,32,0.004497518610421836,6015.31172
Organic Social,6075,2331,0.3837037037037037,12.187818930041152,4.301069958847736,26129,688,0.09316872427983539,0
Cross-network,5750,2501,0.4349565217391304,27.831304347826087,4.060695652173913,23349,4,0.0006956521739130435,0
Organic Search,3525,2633,0.7469503546099291,67.5358865248227,7.700709219858156,27145,161,0.03914893617021276,0
Referral,1150,577,0.5017391304347826,49.97565217391304,5.871304347826087,6752,106,0.07565217391304348,28852.663073
Paid Social,263,76,0.2889733840304182,12.49809885931559,4.079847908745247,1073,0,0,0
Organic Video,137,81,0.5912408759124088,47.55474452554745,5.007299270072993,686,0,0,0
Email,2,2,1,229.5,5.5,11,0,0,0
