# ----------------------------------------
# Traffic acquisition: Session source
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
Session source,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
google,35840,15137,0.42234933035714284,27.952120535714286,4.173939732142857,149594,213,0.004910714285714286,0
CP_028_CONV(Ventes)_MC6P,8076,7984,0.9886082218920258,12.204309063893016,6.057206537890044,48918,8743,0.986255572065379,641.08986
(direct),7566,3951,0.5222045995241872,32.72971186888713,4.697594501718213,35542,442,0.047449114459423736,65678.014395
email,6351,3621,0.5701464336324988,68.63092426389545,4.713745866792631,29937,32,0.0045662100456621,6015.31172
CP_CONV(Ventes)_MC6P_INT_new people - Copie,5074,5011,0.9875837603468663,18.96472211273157,6.327355143870713,32105,5380,0.9838391801340165,0
m.facebook.com,4033,1183,0.2933300272749814,8.944954128440367,3.8874287131167864,15678,179,0.0411604264815274,0
l.facebook.com,1131,539,0.4765694076038904,19.463306808134394,4.891246684350133,5532,457,0.30857648099027407,0
(data not available),1061,264,0.24882186616399624,13.995287464655984,3.528746465598492,3744,0,0,0
(not set),917,2,0.0021810250817884407,29.034896401308615,2.9531079607415487,2708,59,0.05670665212649945,0
l-artquarium81721.activehosted.com,424,104,0.24528301886792453,4.504716981132075,3.8372641509433962,1627,0,0,0
instagram,396,217,0.547979797979798,14.984848484848484,4.111111111111111,1628,2,0.0025252525252525255,0
culturepeinture.l-artquarium.ch,384,273,0.7109375,75.87239583333333,8.677083333333334,3332,103,0.21875,28508.663073
instagram.com,280,180,0.6428571428571429,27.685714285714287,6.535714285714286,1830,0,0,0
fb,223,58,0.2600896860986547,12.829596412556054,4.044843049327354,902,0,0,0
facebook.com,210,153,0.7285714285714285,3.8714285714285714,4.5476190476190474,955,48,0.22857142857142856,0
an,144,26,0.18055555555555555,11.909722222222221,3.2083333333333335,462,0,0,0
YoutubeAds,116,65,0.5603448275862069,29.775862068965516,4.646551724137931,539,0,0,0
bing,98,72,0.7346938775510204,70.71428571428571,8.122448979591837,796,1,0.01020408163265306,0
CP_CONV(Ventes)_MC6P_INT_new+people+-+Copie,68,68,1,3.7205882352941178,6.5588235294117645,446,68,1,0
mail02.orange.fr,59,31,0.5254237288135594,41.03389830508475,4.186440677966102,247,0,0,0
ig,40,18,0.45,10.65,4.275,171,0,0,0
bit.ly,34,21,0.6176470588235294,0.7352941176470589,7.088235294117647,241,0,0,0
ecosia.org,33,27,0.8181818181818182,87.84848484848484,9.333333333333334,308,0,0,0
mail01.orange.fr,33,24,0.7272727272727273,84.93939393939394,5.7272727272727275,189,1,0.030303030303030304,0
duckduckgo,32,28,0.875,58.8125,7.15625,229,1,0.03125,0
meta,29,15,0.5172413793103449,22.93103448275862,4.241379310344827,123,0,0,0
FR-1-Cold-TNT-CP-Lead,28,28,1,0.6785714285714286,5.107142857142857,143,28,1,0
web-mail.laposte.net,28,20,0.7142857142857143,134.03571428571428,4.535714285714286,127,0,0,0
chatgpt.com,26,23,0.8846153846153846,153.80769230769232,11.384615384615385,296,0,0,0
lm.facebook.com,24,13,0.5416666666666666,29.75,4.333333333333333,104,1,0.041666666666666664,0
youtube.com,20,15,0.75,140.6,6.9,138,0,0,0
culturepeinture.com,18,12,0.6666666666666666,102.33333333333333,7.444444444444445,134,0,0,0
evo.marketing,17,8,0.47058823529411764,8.882352941176471,5.764705882352941,98,1,0.058823529411764705,0
outlook.live.com,17,11,0.6470588235294118,96.41176470588235,4.470588235294118,76,0,0,0
