# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,16833,16648,1481,29.529991047448522,0.45282005371530887,77591,59,0.0017308266189197256
Unassigned,11285,11135,759,20.015365485389466,1.1696420641264766,83612,14288,0.9948485655919709
Direct,6638,5871,728,44.586463878326995,0.6696577946768061,41041,470,0.045779467680608366
Paid Video,6022,5914,759,46.04276917956399,0.6412048593776003,32705,11,0.001164919287735064
Organic Social,5478,5407,232,13.282164549972391,0.42702006258052644,25893,699,0.09055770292655992
Cross-network,4603,4611,520,36.23781549173194,0.5330722367275892,23206,14,0.0015230635335073978
Paid Other,2490,2394,877,110.22208737864078,1.0554207119741101,22352,45,0.012944983818770227
Organic Search,2462,2446,358,94.81496543310288,1.063440422936153,26889,157,0.040666937779585195
Referral,739,721,117,58.77762619372442,0.660300136425648,5701,92,0.09822646657571624
Paid Social,233,232,5,11.487068965517242,0.27155172413793105,960,0,0
Organic Video,119,117,8,40.34188034188034,0.6581196581196581,650,0,0
Email,2,2,0,229.5,1,11,0,0
