# ----------------------------------------
# User acquisition: First user source
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
First user source,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
google,28984,28459,3037,39.54587442700375,0.5552507292679539,154705,238,0.004861786359216557
CP_028_CONV(Ventes)_MC6P,6728,6693,405,16.818046456223943,1.172275163787969,48709,8584,0.9989577129243598
(direct),6640,5872,728,44.57655466017941,0.6697582484415388,41046,470,0.04576554660179413
CP_CONV(Ventes)_MC6P_INT_new people - Copie,4307,4267,346,25.50931966449208,1.217148182665424,33630,5544,0.9986020503261882
m.facebook.com,3647,3627,133,10.35818431911967,0.3290233837689133,15792,183,0.043191196698762035
email,2364,2268,875,116.31500426257459,1.1035805626598465,21930,45,0.013640238704177323
(data not available),999,1001,60,15.559236947791165,0.27710843373493976,4033,0,0
l.facebook.com,947,944,58,18.56448202959831,0.5591966173361522,5325,440,0.29704016913319237
l-artquarium81721.activehosted.com,367,362,22,6.343406593406593,0.2692307692307692,1563,0,0
instagram,337,336,9,19.226190476190474,0.6458333333333334,1633,14,0.008928571428571428
facebook.com,249,209,0,3.7072072072072073,0.6846846846846847,981,47,0.21171171171171171
instagram.com,247,245,23,31.666666666666668,0.7357723577235772,1836,0,0
culturepeinture.l-artquarium.ch,196,192,49,125.77551020408163,1.1581632653061225,2732,90,0.35714285714285715
fb,196,196,4,11.61734693877551,0.23979591836734693,800,0,0
an,125,125,2,0.424,0.168,424,0,0
YoutubeAds,103,103,7,33.18446601941748,0.6213592233009708,534,0,0
bing,77,77,9,86.7012987012987,0.8961038961038961,764,1,0.012987012987012988
CP_CONV(Ventes)_MC6P_INT_new+people+-+Copie,68,68,0,3.7205882352941178,1,446,68,1
ig,37,36,1,10.777777777777779,0.4444444444444444,160,0,0
ecosia.org,32,32,2,90.59375,0.84375,317,0,0
FR-1-Cold-TNT-CP-Lead,25,24,3,0.76,1.12,143,28,1
mail02.orange.fr,25,24,10,79.12,1.2,243,0,0
duckduckgo,23,23,2,74.1304347826087,1.0434782608695652,206,1,0.043478260869565216
chatgpt.com,22,22,3,181.86363636363637,1.0454545454545454,300,0,0
lm.facebook.com,22,17,5,55.55,0.85,149,8,0.15
meta,21,21,3,30.857142857142858,0.9047619047619048,135,6,0
(not set),20,0,0,31.6,0,66,0,0
web-mail.laposte.net,17,15,4,48.6875,1.0625,110,0,0
mail01.orange.fr,15,15,5,87.53333333333333,1.1333333333333333,130,1,0.06666666666666667
culturepeinture.com,14,14,3,126.5,0.8571428571428571,130,0,0
youtube.com,14,12,1,85.25,0.9166666666666666,102,0,0
{{campaign.name}},14,14,0,8.142857142857142,0.9285714285714286,94,15,0.9285714285714286
outlook.live.com,12,12,4,136.58333333333334,0.9166666666666666,76,0,0
Meta-SiteLink-3,10,10,0,4.2,0.2,34,0,0
qwant.com,10,10,5,201.7,1.1,105,0,0
Meta-SiteLink-1,9,9,1,6,0.3333333333333333,36,0,0
ch.search.yahoo.com,9,9,2,158.66666666666666,1.1111111111111112,119,0,0
Meta-SiteLink-2,8,8,1,50.25,0.375,42,0,0
l.instagram.com,8,7,1,9.714285714285714,0.7142857142857143,36,0,0
yahoo,7,7,0,51.714285714285715,1,62,0,0
deref-gmx.fr,6,5,1,45.833333333333336,1,38,0,0
zimbra.free.fr,6,6,2,209.66666666666666,1.3333333333333333,58,0,0
CP_013_CONV(Ventes)_MC6P_IG_INT Peinture,5,5,0,7.2,1.2,37,8,1
