# ----------------------------------------
# Traffic acquisition: Session campaign
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
Session campaign,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Video1M6CP,13164,4895,0.3718474627772713,22.32323002127013,3.799149194773625,50012,47,0.002582801580066849,0
(direct),7566,3951,0.5222045995241872,32.72971186888713,4.697594501718213,35542,442,0.047449114459423736,65678.014395
FR_01 Masterclass M6CP,7220,3452,0.4781163434903047,29.302216066481993,4.081163434903047,29466,2,0.00013850415512465375,0
(referral),6987,2705,0.38714755975382853,18.705452984113354,4.503363389151281,31465,793,0.09360240446543582,28852.663073
FR_02 Masterclass 6 Principes - Conversions,4747,2245,0.47293027175057933,30.752264588160944,4.151464082578471,19707,4,0.0008426374552348852,0
MonaLisa,3708,1188,0.32038834951456313,20.18311758360302,3.72680690399137,13819,0,0,0
(organic),3511,2621,0.7465109655368841,67.12930788949018,7.690686414127029,27002,160,0.03902022215892908,0
Vidéo Mona Lisa - Texte 1-3,2881,2867,0.9951405761888233,8.817424505380076,5.930579659840333,17086,3195,0.9951405761888233,0
mail01,2733,1375,0.5031101353823637,69.8598609586535,4.432857665568972,12115,3,0.0010976948408342481,0
PeintureHasard,2456,872,0.3550488599348534,18.695846905537458,3.705211726384365,9100,1,0.00040716612377850165,0
Vidéo Contemporain Arnaque - Texte 1-3,2133,2098,0.9835911861228317,12.162681669010784,5.938115330520394,12666,2302,0.9779653070792311,641.08986
Vidéo Hasard - Texte 1-3,2113,2089,0.9886417415996214,15.512068149550402,6.392333175579744,13507,2327,0.9876952200662565,0
D1_Mal à comprendre Picasso,1234,1223,0.9910858995137763,16.96515397082658,6.515397082658023,8040,1348,0.986223662884927,0
C1_En 47 minutes seulement,1233,1215,0.9854014598540146,15.832927818329278,6.334955393349554,7811,1332,0.9829683698296837,0
F1_Saviez-vous que les grands peintres,1103,1092,0.9900271985494107,25.618313689936535,6.42973708068903,7092,1180,0.9827742520398912,0
(cross-network),1061,264,0.24882186616399624,13.995287464655984,3.528746465598492,3744,0,0,0
E1_Différence artistes imposteurs,961,947,0.9854318418314256,17.652445369406866,6.395421436004162,6146,1051,0.9791883454734651,0
(not set),946,26,0.02748414376321353,31.905919661733616,3.1543340380549685,2984,69,0.06342494714587738,0
ArtContemporainArnaque,681,240,0.3524229074889868,16.809104258443465,3.6784140969162995,2505,0,0,0
mail02,652,389,0.5966257668711656,84.97239263803681,4.831288343558282,3150,0,0,0
Vidéo Echecs - Texte 1-3,617,607,0.9837925445705025,18.46677471636953,7.162074554294976,4419,711,0.9805510534846029,0
23858752268940099,411,102,0.24817518248175183,12.170316301703163,3.75669099756691,1544,0,0,0
acquisition_prospects,396,217,0.547979797979798,14.984848484848484,4.111111111111111,1628,2,0.0025252525252525255,0
A1_Découvrez 6 Principes,352,344,0.9772727272727273,23.05965909090909,6.801136363636363,2394,374,0.9744318181818182,0
mail08,277,180,0.6498194945848376,63.22382671480145,4.812274368231047,1333,0,0,0
mail04,267,193,0.7228464419475655,100.79026217228464,5.254681647940075,1403,0,0,0
mail10,208,66,0.3173076923076923,32.13942307692308,4,832,0,0,0
johns03,186,90,0.4838709677419355,22.14516129032258,4.053763440860215,754,0,0,0
mail07,172,114,0.6627906976744186,46.49418604651163,5.098837209302325,877,1,0.005813953488372093,320.54493
mail05,163,103,0.6319018404907976,69.37423312883436,4.975460122699387,811,0,0,0
B1_Peintre amateur ?,158,154,0.9746835443037974,16.835443037974684,6.151898734177215,972,164,0.9683544303797469,0
mail06,157,110,0.7006369426751592,140.6751592356688,5,785,0,0,0
